"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00775800300400000","Внутренняя вилка I","1",""
"2","00775800300200000","Наружная вилка I","1",""
"3","00775800300600000","Наружная вилка II","1",""
"4","00775800300800000","Внутренняя вилка II","1",""
"5","00775800301200000","Внутренняя вилка III","1",""
"6","00775800301000000","Наружная вилка III","2",""
"7","00775800301400000","Внутренняя вилка IV","1",""
"8","00775800301800000","Внутренняя вилка V","1",""
"9","00775800301600000","Наружная вилка V","1",""
"10","00775800300001180","Желоб IV","1",""
"11","00775800300001170","Желоб III","1",""
"12","00775800302200000","Шатун","4",""
"13","00775800303000000","Сварной элемент желоба II","2",""
"14","00775800302800000","Сварной элемент желоба I","2",""
"15","1040003970","Болт 1/2-13UNC-35-8.8","24","GB/T5783-2000"
"16","1040300054","Шайба 12","24","GB/T93-1987"
"17","1040300526","Шайба 12","24","GB/T97.1-2002"
"18","00773400200001070","Стопорный штифт","28",""
"19","00775800300001010","Вал I","24",""
"20","1054400367","Комбинированная втулка","24",""
