"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"59","1010100908","Ходовой мотор","2",""
"60","1040301503","Шайба 12","4","GB/T93-1987"
"61","1040006277","Болт M12×30-10.9","4","GB/T16674.1-2004"
"62","1140114622","Штуцер колена. 
регулируемый по 
направлению","2",""
"63","1140101737","Прямоугольный композитный 
штуцер M36×2","1",""
"64","1010001908","Шестеренчатый насос","1",""
"65","1140114045","Гидравлический штуцер 
M22×1.5-G3/4","1",""
"66","1140101476","Прямоугольный композитный 
штуцер M22×1.5","2",""
"67","1140114623","Прямой соединитель","2",""
"68","1140112828","Прямой соединитель","1",""
"69","1140103421","Прямой соединитель","2",""
"70","1010002352","Закрытый насос","1",""
"71","1140111770","Прямой соединитель","1",""
"72","1140105936","Прямой соединитель","1",""
"73","1010800165","Силовой аккумулятор","1",""
"74","1140103016","Прямой комбинированный 
соединитель","1",""
