"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040200503","Гайка M8-8","31","GB/T889.1-2000"
"2","1040000649","Болт M8×50-8.8","4","GB/T5782-2000"
"3","1040502050","D-образный штифт 8×53","4",""
"4","00775800100001170","Ограничительный  планка","4",""
"5","1040000464","Болт M8×75-8.8","8","GB/T5782-2000"
"6","1040300066","Шайба 8","36","GB/T97.1-2002"
"7","1040200506","Гайка M6-8","36","GB/T889.1-2000"
"8","1040300051","Шайба 6","44","GB/T97.1-2002"
"9","1040000700","Болт M6×60-8.8","12","GB/T5783-2000"
"10","1101000163","Пружинная петля","2",""
"11","00775602800001180","Через катушку","2",""
"12","00775800103000000","Верхний рельс вилки","4",""
"13","1040001179","Болт M12×35-8.8","48","GB/T5782-2000"
"14","1040200507","Гайка M12-8","48","GB/T889.1-2000"
"15","1040300526","Шайба 12","96","GB/T97.1-2002"
"16","00775800103400000","Опора шатуна вилки","2",""
"17","1040300061","Шайба 10","8","GB/T97.1-2002"
"18","1040300067","Шайба 10","8","GB/T93-1987"
"19","1040001595","Болт M10×35-8.8","8","GB/T5783-2000"
"20","00775800100200000","Нижние элементы 
постоянной платформы","1",""
