"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040000267","Болт M8×20-8.8","32","GB/T5783-2000"
"2","1040300063","Шайба 8","32","GB/T93-1987"
"3","1040300066","Шайба 8","32","GB/T97.1-2002"
"4","00775802801040000","Сварка защитного капота 
опоры","4",""
"5","00775802801001070","Прозрачная планка II","4",""
"6","00775802801080000","Сварка панели заглушки","4",""
"7","1040000116","Болт M10×20-8.8","24","GB/T5783-2016"
"8","1040300067","Шайба 10","24","GB/T93-1987"
"9","1040300061","Шайба 10","24","GB/T97.1-2002"
"10","00775802801001060","Прозрачная планка I","4",""
"11","00775802801001050","Ограничительный  планка","4",""
"12","1010201637","Цилиндр опоры","4",""
"13","1040200161","Гайка M16 -8","16","GB/T889-1986"
"14","1040300052","Шайба 16","16","GB/T97.1-2002"
"15","00775802801001040","Монтажный болт цилиндра","16",""
"16","00775802801060000","Шпильника","4",""
"17","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"18","1020521448","Концевой выключатель","2",""
"19","1040100055","Болт M6×20-8.8","8","GB/T70.1-2000"
"20","1040300062","Шайба 6","24","GB/T93-1987"
