"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00775800300001190","Амортизационная подушка","3",""
"2","00775802800001360","Защитный кожух нивелира","1",""
"3","1040100127","Винт M6×12-8.8","4","GB/T70.1-2000"
"4","1040300062","Шайба 6","4","GB/T93-1987"
"5","1040300051","Шайба 6","12","GB/T97.1-2002"
"6","1040102341","Винт M5×12-8.8","3","GB/T70.1-2000"
"7","1040000682","Болт M6×40-8.8","5","GB/T5783-2000"
"8","1021404523","Нивелир","1",""
"9","00775802800001330","Пружина для выравнивания","3",""
"10","00775802800001320","Монтажная панель 
инвелира","1",""
"11","1040200161","Гайка M16 -8","1","GB/T889-1986"
"12","1040300247","Шайба 16","2","GB/T96.1-2002"
"13","00775802803100000","Лестница","1",""
"14","1040006079","Болт M16×45-8.8","1","GB/T5783-2000"
"15","1040300093","Шайба 6","2","GB/T96.1-2002"
"16","00775802800001350","Буферное кольцо двери","2",""
"17","1040200506","Гайка M6-8","6","GB/T889.1-2000"
"18","1040200507","Гайка M12-8","2","GB/T889.1-2000"
"19","1040001179","Болт M12×35-8.8","2","GB/T5782-2000"
"20","1029903782","Винт M5×12","8","GB/T818-2000"
