"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","1010201676","Плавающий цилиндр","2",""
"22","1040006079","Болт M16×45-8.8","1","GB/T5783-2000"
"23","00773400400001250","Стопорный штифт","1",""
"24","00775802800001260","Соединительный штифт 
плавающего мостика","1",""
"25","00773402800001070","Подшипник","2",""
"26","00775802800800000","Сварные изделия переднего 
моста","1",""
"27","1030800839","Шина","1",""
"28","1040000101","Болт M12×40-8.8","4","GB/T5783-2016"
"29","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"30","00775802801700000","Опора маслопровода II","1",""
"31","1040302492","Шайба 16","12","GB/T97.1-2002"
"32","1040101819","Винт M12×40-10.9","12","GB/T70.1-2000"
"33","1040000114","Болт M10×25-8.8","6","GB/T5783-2000"
"34","1040300067","Шайба 10","6","GB/T93-1987"
"35","1040300061","Шайба 10","6","GB/T97.1-2002"
"36","00775802800001250","Стопорный штифт","6",""
"37","00775802800001240","Шкворень I","6",""
"38","1054400340","Комбинированная втулка","6",""
"39","00775802804400000","Рулевой привод","1",""
"40","1010201636","Гидроцилиндр рулевого 
управления","2",""
