"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040001680","Болт M10×30-8.8","8","GB/T5783-2016"
"2","1040300061","Шайба 10","12","GB/T97.1-2002"
"3","00775802803800000","Опора аварийного насоса","1",""
"4","1040200504","Гайка M10-8","6","GB/T889.1-2000"
"5","00775802800001370","Крышка I","1",""
"6","1040300051","Шайба 6","12","GB/T97.1-2002"
"7","1040300062","Шайба 6","12","GB/T93-1987"
"8","1040000096","Болт M6×12-8.8","12","GB/T5783-2000"
"9","00775802803600000","Наружная рама левого 
корпуса","1",""
"10","00775802800001480","Нижняя крышка левого 
корпуса","1",""
"11","00775802800001140","Крепежная планка верхняя 
наружной рамы","1",""
"12","1040000018","Болт M8×30-8.8","8","GB/T5783-2000"
"13","1040300066","Шайба 8","16","GB/T97.1-2002"
"14","00775802800001340","Монтажная планка для 
клапана ходового управления","1",""
"15","1040200503","Гайка M8-8","8","GB/T889.1-2000"
"16","00775802800001490","Крышка II","1",""
"17","1040000288","Болт M8×25-8.8","4","GB/T5783-2000"
"18","1020304979","Выключатель","5",""
"19","1020202167","Наземный контроллер в сборе","1",""
"20","00775802800001210","Опора тормозного плывущего 
клапана","1",""
