"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040103310","Болт M8×45-8,8","32","GB/T70.3-2000"
"2","1040300066","Шайба 8","32","GB/T97.1-2002"
"3","1040200503","Гайка M8-8","32","GB/T889.1-2000"
"4","00775800302001010","Нижний ползун","8",""
"5","00775800302001020","Верхний ползун","8",""
"6","00775800302100000","Нижняя скользящяя 
соединительная тарелка","8",""
"7","1040100024","Винт M8×65-8.8","8","GB/T70.1-2000"
"8","1040300063","Шайба 8","8","GB/T93-1987"
"9","1010307007","Уравнительный клапан 
подъемного цилиндра","1",""
"10","1010201639","Верхний подъемный цилиндр","1",""
"11","1010201638","Нижний подъемный цилиндр","1",""
"12","1010307008","Уравнительный клапан 
подъемного цилиндра","1",""
"13","1040001283","Болт M10×45-8.8","4","GB/T5782-2000"
"14","1040300061","Шайба 10","3","GB/T97.1-2002"
"15","1040200504","Гайка M10-8","16","GB/T889.1-2000"
"16","00775800300001100","Подставка предохранительной 
стрелы","1",""
"17","1100400030","Вращающийся дверной 
шпингалет","1",""
"18","00775800300001090","Дугообразная соединительная 
плита предохранительной 
стрелы","1",""
