"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00775800104810000","Сварка двери платформы","1",""
"2","00775600101801020","Пружина","1",""
"3","00775600101801010","Личинка замка","1",""
"4","1040000469","Болт M6×55","1","GB/T5783-2000"
"5","1040200503","Гайка M8-8","1","GB/T889.1-2000"
"6","1040300066","Шайба 8","2","GB/T97.1-2002"
