"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","1040000464","Болт M8×75-8.8","3","GB/T5782-2000"
"22","00775800102601030","Нейлоновая прокладка","5",""
"23","00775800100001200","Прокладка I","2",""
"24","1040300167","Стопорное кольцо 20","2","GB/T894.1-1986"
"25","00775800102610000","Сварка опоры катка","1",""
"26","00775800102601020","Каток I","2",""
"27","1052500006","Подшипник 6004-2RS","4","GB/T 276-1994"
"28","00775800102601040","Шкворень III","1",""
"29","1040200504","Гайка M10-8","2","GB/T889.1-2000"
"30","1040300061","Шайба 10","4","GB/T97.1-2002"
"31","1040001680","Болт M10×30-8.8","2","GB/T5783-2016"
"32","00775800100001090","Боковой упор продленной 
платформы","2",""
"33","00775800100001110","Каучуковая прокладка","4",""
"34","1040201674","Гайка M8-8","2","GB/T13681-1992"
"35","1040000018","Болт M8×30-8.8","4","GB/T5783-2000"
"36","00775800103801020","Гнутая пластина I","1",""
"37","00775800103801030","Гнутая пластина II","1",""
"38","00775800103801010","Зубной блок","2",""
"39","1040102717","Винт M8×40-8.8","2","GB/T70.3-2000"
