"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00775807100801060","Впускной рукав","1",""
"2","1990202290","Хомут спирального червяка","2",""
"3","1000100391","Фильтр воздуха в сборе","1",""
"4","00775807100801020","Впускная труба I","1",""
"5","1990202288","Хомут спирального червяка","3",""
"6","00775807100801040","Впускная стальная труба","1",""
"7","00775807100801030","Впускная труба II","1",""
"8","00775807100601140","Планка III","1",""
"9","00775807100601120","Планка I","1",""
"10","00775807100601080","Ветроотбойник","1",""
"11","00775807100601230","Монтажная планка I","1",""
"12","00775807100601150","Планка IV","1",""
"13","00775807100601111","Монтажная панель водяного 
бака","1",""
"14","1000300735","Расширительный бак","1",""
"15","00775807100601160","Гнутая пластина VI","1",""
"16","00775807100601190","Водовыпускная труба I","1",""
"17","1990202287","Хомут спирального червяка","8",""
"18","00773407140601060","Штуцер I","1",""
"19","00775807100601180","Водовыпускная труба","1",""
"20","00775807100601201","Труба подпиточной воды","1",""
