"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"41","00773407140201010","Крышка муфты","1",""
"42","1000000867","Дизельный двигатель","1",""
"43","00775807100201040","Гнутая пластина IV","1",""
"44","1040200161","Гайка M16 -8","4","GB/T889-1986"
"45","1009900979","Амортизатор двигателя","8",""
"46","00773407100201050","Подкладка","4",""
"47","1040302492","Шайба 16","4","GB/T97.1-2002"
"48","1040003912","Болт M16×120-10.9-DKL","4","GB/T5783-2000"
"49","00775807100201030","Изогнута пластинка III","1",""
"50","1009901074","Водомаслоотделитель","1",""
"51","00775807100401260","Гнутая пластина","1",""
"52","1990200692","Резиновая лента с 
пластическим покрытием","3",""
"53","00775807100401010","Бак топлива в сборе","1",""
