"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","1040000689","Болт M8×35-8.8","4","GB/T5782-2000"
"22","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"23","00775800300001210","Стопорный штифт","4",""
"24","00775800300001050","Малая ось шатуна","3",""
"25","1054400313","Комбинированная втулка","29",""
"26","00775800300001240","Вал II","10",""
"27","1040303158","Стопорное кольцо 58","20",""
"28","00775800300001230","Прокладка","19",""
"29","1054400315","Комбинированная втулка","40",""
"30","00775800300001080","Прокладочное кольцо","20",""
"31","1040000067","Болт M12×45-8.8","4","GB/T5782-2000"
"32","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"33","00775800300001030","Вал III","4",""
"34","1054400363","Комбинированная втулка","8",""
"35","1040000076","Болт M6×25-8.8","6","GB/T5783-2000"
"36","1040200506","Гайка M6-8","6","GB/T889.1-2000"
"37","00775800100001140","Стопорный штифт","6",""
"38","00775800300001060","Соединительный вал желоба","6",""
"39","00775800300001040","Большая ось шатуна","1",""
"40","00775800300001160","Ограничительный блок I","1",""
