"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","1054400367","Комбинированная втулка","24",""
"22","00775800302101030","Сиденье","24",""
"23","00775800302101020","Ребро","24",""
"24","00775800300201030","Патрубок","6",""
"25","00775800302001010","Нижний ползун","8",""
"26","00775800302101010","Фундаментная плита","8",""
"27","00775800302001020","Верхний ползун","8",""
"28","00775800302101040","Соединительная плита","48",""
"29","1040103310","Винт M8×45-8.8","96","GB/T70.3-2000"
"30","1040300066","Шайба 8","24","GB/T97.1-2002"
"31","1040200503","Гайка","24","GB/T889.1-2000"
"32","00775800302101050","Нижняя установочная 
планка","24",""
