"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040001179","Болт M12×35-8.8","48","GB/T5782-2000"
"2","1040300526","Шайба 12","96","GB/T97.1-2002"
"3","1040200507","Гайка M12-8","48","GB/T889.1-2000"
"4","1040200506","Гайка M6-8","40","GB/T889.1-2000"
"5","1040300051","Шайба 6","46","GB/T97.1-2002"
"6","1040100105","Винт M6×25-8.8","12","GB/T70.1-2000"
"7","00775800110001070","Монтажная планка катка I","4",""
"8","1040100237","Винт M6×30-8.8","4","GB/T70.1-2000"
"9","00775800110002400","Стопорный штифт","4",""
"10","00775800110002300","Нейлоновый блок","8",""
"11","1040200506","Гайка M6-8","26","GB/T889.1-2000"
"12","00775800100001080","Шкворень II","4",""
"13","00775800100001070","Каток III","4",""
"14","1052500006","Подшипник","20","GB/T 276-1994"
"15","00775800100001200","Прокладка I","10",""
"16","00775800300001010","Вал I","6",""
"17","1040003970","Болт M12×35-8.8","24","GB/T5783-2000"
"18","1040300054","Шайба 12","24","GB/T93-1987"
"19","1040300526","Шайба 12","96","GB/T97.1-2002"
"20","00773400200001070","Стопорный штифт","24",""
