"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040502050","D-образный штифт  8× 53","2",""
"2","00775800100001170","Ограничительный  планка","2",""
"3","1040000649","Болт M8×50-8.8","2","GB/T5782-2000"
"4","1040200503","Гайка M8-8","17","GB/T889.1-2000"
"5","00775800100001190","Квадратная заглушка","2",""
"6","00775800101800000","Перила продленной 
платформы II","1",""
"7","00775800102000000","Перила постоянной 
платформы III","1",""
"8","00775800101600000","Перила постоянной 
платформы I","1",""
"9","1040502051","D-образный штифт  8× 70","2",""
"10","1999904986","Коробка для файлов","1",""
"11","1040102341","Винт M5×12-8.8","4","GB/T70.1-2000"
"12","1040300048","Шайба 5","4","GB/T97.1-2002"
"13","1040200867","Гайка M16 -8","4","GB/T889.1-2000"
"14","1040000137","Болт M8×65-8.8","9","GB/T5782-2000"
"15","1040300066","Шайба 8","31","GB/T97.1-2002"
"16","1040100024","Винт M8×65-8.8","1","GB/T70.1-2000"
"17","00775800100001030","Хомут","1",""
"18","00775800102400000","Рычаг растяжения-сжатия","1",""
"19","00775800102800000","Тяга","1",""
"20","00775800100400000","Нижние элементы 
продленной платформы","1",""
