"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040202297","Гайка M16×1.5-10","18","GB/T6177.2-2000"
"2","1030800838","Шина","1",""
"3","1040001179","Болт M12×35-8.8","4","GB/T5782-2000"
"4","1040300054","Шайба 12","4","GB/T93-1987"
"5","1040300526","Шайба 12","8","GB/T97.1-2002"
"6","00773400200001070","Стопорный штифт","4",""
"7","00775802800001280","Шкворень III","2",""
"8","00773402800001110","Прокладка поворотной 
цапфы","2",""
"9","00773400200001020","Подшипник","4",""
"10","1030202175","Редуктор","2",""
"11","00775802800400000","Поворотная цапфа  I","1",""
"12","00773402800001320","Верхняя шайба поворотной 
цапфы","2",""
"13","00775802800001460","Шкворень II","2",""
"14","1054400336","Комбинированная втулка","8",""
"15","00775802800001290","Соединительный штифт 
плавающего цилиндра II","2",""
"16","00775600000001050","Шарнирный палец","4",""
"17","1040300066","Шайба 8","14","GB/T97.1-2002"
"18","1040300063","Шайба 8","8","GB/T93-1987"
"19","1040000288","Болт M8×25-8.8","4","GB/T5783-2000"
"20","00775802800001270","Соединительный штифт 
плавающего цилиндра","2",""
