"No.","Código de material","Nombre y especificación","Cantidad","Observaciones"
"41","1040000018","Болт M8×30-8.8","4","GB/T5783-2000"
"42","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"43","00775802800001310","Прижимная планка 
маслопровода","2",""
"44","1040100055","Винт M6×20-8.8","2","GB/T70.1-2000"
"45","1040200506","Гайка M6-8","2","GB/T889.1-2000"
"46","00775802800001470","Зажим маслопровода","2",""
"47","00775802801600000","Опора маслопровода","1",""
