"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","00775800104600000","Перила постоянной 
платформы IV","1",""
"22","00775800104000000","Перила постоянной 
платформы I","1",""
"23","00775800104400000","Перила постоянной 
платформы III","1",""
"24","00775800104200000","Перила постоянной 
платформы II","1",""
"25","00775800104800000","Дверь платформы","1",""
"26","00775800105000000","Гнутая рейка","2",""
"27","1040300062","Шайба 6","8","GB/T93-1987"
"28","1040000076","Болт M6×25-8.8","8","GB/T5783-2000"
"29","00775800100001050","Монтажная планка катка I","4",""
"30","1040100237","Винт M6×30-8.8","4","GB/T70.1-2000"
"31","00775800100001130","Нейлоновый блок","8",""
"32","00775800100001140","Стопорный штифт","4",""
"33","00775800100001200","Прокладка I","6",""
"34","1052500006","Подшипник 6004-2RS","8","GB/T 276-1994"
"35","00775800100001070","Каток III","4",""
"36","00775800100001080","Шкворень II","4",""
"37","1040100105","Винт M6×25-8.8","12","GB/T70.1-2000"
"38","1040502051","D-образный штифт  8×70","9",""
