"Item","Part Number","Description","Qty.","Remark"
"1","92048997","Pipe Fitting","2",""
"2","93000309","Pipe Fitting","1",""
"3","90007329","Drilled Screw","3",""
"4","90007331","Washer","6",""
"5","90023862","Pipe Fitting","2",""
"6","92100611","Fitting","3",""
"7","93000016","Spring Washer Ф10.2","4",""
"8","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"9","90029468","Fuel Filter","1",""
"--","90031462","Filter Cartridge","1",""
"--","90031464","Fuel Sensor","1",""
"10","93000534","Bracket","1",""
"11","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"12","93000015","Spring Washer Ф8.2","2",""
"13","90029469","Fuel Pump","1",""
"14","00002246","Bolt  GB/T 5783  M5 × 12","4",""
"15","93000013","Spring Washer Ф5.1","4",""
"16","00000683","Bolt  GB/T 5783  M10 × 30","2",""
"17","93000293","Fuel Filter","1",""
"--","90031463","Filter Cartridge","1",""
"18","90007330","Pipe Fitting","1",""
