"Item","Part Number","Description","Qty.","Remark"
"1","00003136","Screw  GB/T 70  M8 × 55","4",""
"2","00012268","Counterbalance Valve (Main Telescopic) 
(Refer to 5-14)","1",""
"3","50011488","Main Telescopic Cylinder Assembly","1","BA41RT"
"","50011516","Main Telescopic Cylinder Assembly","1","BA36RT"
"4","00000674","Bolt  GB/T 5783  M10 × 20","10",""
"5","00000679","Spring Washer  GB/T 93  10","10",""
"6","00000615","Flat Washer  GB/T 97.1  10","10",""
"7","92000194","Sliding Block","5",""
"8","92000139","Insert","10",""
"9","50011555","Seal Kit 100/85","1","BA41RT"
"","50011557","Seal Kit 95/75","1","BA36RT"
