"Item","Part Number","Description","Qty.","Remark"
"1","50010969","Seal","1",""
"2","93300700","Spring, Gas","2",""
"3","93000016","Spring Washer Ф10.2","24",""
"4","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"5","93300697","Hinge","2",""
"6","00000623","Nut  GB/T 6182  M10","8",""
"7","00000674","Bolt  GB/T 5783  M10 × 20","8",""
"8","50010967","Bracket","1",""
"9","00002463","Bolt  GB/T 5783  M16 × 65","5",""
"10","00002611","Nut  GB/T 6172.1  M16","5",""
"11","93000568","Shim","6",""
"12","93300698","Screw Cap","5",""
"13","93300701","Shim","3",""
"14","00002516","Bolt  GB/T 5783  M12 × 65","6",""
"15","93000017","Spring Washer Ф12.4","6",""
"16","93000794","Tie","1",""
"17","93200373","Seal","1",""
"18","50010910","Turntable Hood (Right Middle)","1",""
"19","93303714","Rubber Mounting","2",""
"20","93000295","Shim","8",""
"21","93000014","Spring Washer Ф6.1","7",""
"22","00000818","Bolt  GB/T 5783  M6 × 16","3",""
"23","50000524","Doorknob","1",""
"24","00000775","Bolt  GB/T 5783  M6 × 30","4",""
"25","10000481","Lock","1",""
