"Item","Part Number","Description","Qty.","Remark"
"30","09440770","Decal, Instructions-Work area","1","BA18CERT2 
(Standard)"
"","09440771","Decal, Instructions-Work area","1","BA16CERT2 
(Standard)"
"","09440772","Decal, Instructions-Work area","1","BA22CERT2 
(Optional)"
"","09440773","Decal, Instructions-Work area","1","BA20CERT2 
(Optional)"
"","09440774","Decal, Instructions-Work area","1","BA18CERT2 
(Optional)"
"","09440775","Decal, Instructions-Work area","1","BA16CERT2 
(Optional)"
"31","09340029","Decal, Instructions-Open/close","1",""
"32","09340026","Decal, Symbols-Refer the operator to the 
instructions for use","1",""
"33","09440755","Decal, Label-Capacity 320kg","1","Standard"
"","09440192","Decal, Label-Capacity 300kg","1","Optional"
