"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","025515062A0530000","Turntable electric control box
assembly","A","1",""
"9","1040004520","Bolt","A","4","GB/T5783-2000"
"10","1040302480","Washer","B","4","GB/T96.1-2002"
"11","1040200503","Nut","A","4","GB/T889.1-2000"
"12","1040302489","Washer","B","6","GB/T97.1-2002"
"13","02551500820001100","Electric cabinet bracket II","D","1",""
"14","1040002435","Bolt","A","2","GB/T5783-2016"
"15","02551500800001011","Rubber pad","B","2",""
"16","1040002434","Bolt","A","2","GB/T5783-2016"
"17","00771400800001150","Spacer","A","4",""
"18","02551500820001090","Electric cabinet bracket I","A","1",""
"19","1040200113","Nut","A","2","GB/T6170-2000"
