"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"4","02555500310200000","First boom section weldment","B","1",""
"5","02551500300001020","Cover plate II","A","2",""
"6","02551500300001010","Cover I","A","2",""
"7","00771400620001110","Stop pin","A","1",""
"8","1040006314","Bolt","A","1","GB/T5783-2000"
"9","1040301515","Washer","A","10","GB/T97.1-2002"
"10","00771600301201010","Lubrication-free bearing","A","2",""
"11","02551500300801030","Telescopic cylinder rod pin","B","2",""
"12","00773400400001250","Stop pin","E","2",""
"13","1040004570","Bolt","A","2","GB/T5783-2000"
"14","1040004517","Bolt","A","8","GB/T5783-2000"
"15","02551500300001031","Synchronous pull rod pin","B","1",""
