"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"6","1040302492","Washer","B","8","GB/T97.1-2002"
"9","1040302489","Washer","B","25","GB/T97.1-2002"
"20","1040005847","Bolt","A","5","GB/T5783-2000"
"21","02551700800001030","Tank pull rod","B","1",""
"22","1040200161","Nut","A","6","GB/T889-1986"
"23","1040002446","Bolt","A","1","GB/T5783-2000"
"24","02551500800001011","Rubber pad","B","2",""
"25","1040200113","Nut","A","2","GB/T6170-2000"
"26","02551500820001090","Electric cabinet bracket I","A","1",""
"27","00771400800001150","Spacer","A","4",""
"28","1040002434","Bolt","A","6","GB/T5783-2016"
"29","02551500820800001","Tank bracket weld","A","1",""
"30","02551500821200000","Pull rod welds","A","1",""
