"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1140267226","Hose assembly","A","3",""
"2","02551505200201160","Steel tube","A","1",""
"3","1140251101","Hose assembly","A","1",""
"4","1140206957","Hose assembly","A","1",""
"5","02551505200201140","Steel tube","A","2",""
"6","1140265063","Hose assembly","A","1",""
"7","1140267246","Hose assembly","A","1",""
"8","1140276576","Hose assembly","A","2",""
"9","1140262401","Hose assembly","A","1",""
"10","1140262402","Hose assembly","A","1",""
"11","1140282622","Hose assembly","A","1",""
"12","1140101665","Connector","A","6",""
"13","1140105914","Connector","A","2",""
"14","1140101438","Connector","A","2",""
"15","1140101488","Connector","A","2",""
"16","1140234891","Hose assembly","A","3",""
"17","1140260482","Hose assembly","A","1",""
"18","1140211560","Hose assembly","A","1",""
"19","1140263924","Hose assembly","A","1",""
"20","1140215355","Hose assembly","A","1",""
"21","1140102959","Connector","A","2",""
"22","1140215768","Hose assembly","A","2",""
"23","1140225750","Hose assembly","A","1",""
"24","1140231095","Hose assembly","A","1",""
"25","1140258981","Hose assembly","A","1",""
"26","1140101436","Connector","A","5",""
"27","1140276577","Hose assembly","A","1",""
"28","1140245802","Hose assembly","A","1",""
"29","1140101425","Connector","A","4",""
"30","1140260193","Hose assembly","A","1",""
"31","1140113796","Connector","A","1",""
"32","1140258990","Hose assembly","A","1",""
"33","1140260191","Hose assembly","A","1",""
"34","1140229754","Hose assembly","A","1",""
"35","1140251017","Hose assembly","A","1",""
