"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"14","1039814068","Output gear shaft","A","1",""
"15","1039814069","Slinger","A","1",""
"16","1040304349","Check ring","A","1",""
"17","1039814070","Bearing seat","A","1",""
"18","1039814071","Planetary gear shaft","A","4",""
"19","1039814072","Planetary carrier","A","1",""
"20","1040304350","Check ring","A","1",""
"21","1039814073","Stop washer","A","8",""
"22","1039814074","Planetary gear","A","4",""
"23","1039814075","Inner gear ring","A","1",""
"24","1039814076","Sun gear","A","1",""
"25","1039814077","Planetary gear shaft","A","3",""
"26","1039814078","Planetary carrier","A","1",""
"27","1039814079","Baffle plate","A","1",""
"28","1040304351","Check ring","A","3",""
"29","1039814082","Planetary gear","A","3",""
"30","1039814083","Sun gear","A","1",""
"31","1039814084","Break seat","A","1",""
"32","1039814085","Piston","A","1",""
"33","1039814086","Transmission shaft","A","1",""
"34","1039814087","Motor Mount","A","1",""
"35","1050202887","Self-aligning roller bearing","A","1",""
"36","1081012998","Seal washer","A","5",""
"37","1049900995","Hexagonal socket head plug(Dacro)","A","5",""
"38","1081012999","Lip seal","A","2",""
"39","1050202888","Cylindrical roller bearing","A","1",""
"40","1040304239","External retaining ring","A","1",""
"41","1054600109","Needle with round end","A","88",""
"42","1040304352","External retaining ring","A","4",""
"43","1081013000","O -shape seal ring","A","1",""
"44","1040008932","Hex head nut","A","16",""
"45","1010311483","Breather valve","A","1",""
"46","1050202886","Cylindrical roller bearing","A","3",""
"47","1040304353","External retaining ring","A","3",""
"48","1040304354","External retaining ring","A","1",""
