"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00771400750001070","Pipeline clamp III","A","4",""
"2","00771400750001060","Pipeline clamp II","A","4",""
"3","00771400750001050","Pipeline clamp I","A","4",""
"4","00771400710001021","Pressing plate","A","4",""
"5","1040302489","Washer","B","43","GB/T97.1-2002"
"6","1040007220","Bolt","A","2","GB/T5782-2000"
"7","1040104091","Screw","A","4","GB/T70.2-2000"
"8","02555500700400000","Steel dragging pipe","A","1",""
"9","00771400750001020","Anti-collision slider","A","1",""
"10","1040202856","Nut","A","14","GB/T889.1-2000"
"11","02555500701200000","Steel chain","A","1",""
"12","00771400751400001","Tail bracket","B","1",""
"13","1040301502","Washer","A","16","GB/T93-1987"
"14","1040004033","Bolt","A","16","GB/T5783-2000"
"15","1040005845","Bolt","A","2","GB/T5783-2000"
"16","1040104090","Screw","A","4","GB/T70.2-2000"
"17","1040303581","Washer","A","4","GB/T96.1-2002"
"18","1040103116","Screw","A","8","GB/T70.1-2000"
"19","1040301515","Washer","A","18","GB/T97.1-2002"
"20","1040303580","Washer","A","20","GB/T96.1-2002"
"21","1040301510","Washer","A","16","GB/T93-1987"
"22","1040103113","Screw","A","16","GB/T70.1-2000"
"23","00771100750200000","Wiring duct- lower cover","B","3",""
"24","00771100750001050","Wiring duct- upper cover","B","3",""
"25","1040103568","Screw","A","4","GB/T70.2-2000"
"26","00772100700001120","Wire slot plate","B","1",""
"27","1040301033","Washer","B","4","GB/T97.1-2002"
"28","00771400710001151","Adjustable pad","A","2",""
"29","00771400751200000","Dragging pipe support seat","B","1",""
"30","1040004034","Bolt","A","4","GB/T5783-2000"
"31","00771400750001111","Mounting plate","B","2",""
"32","00772700700401091","Upper slider","A","1",""
"33","00772700700401071","Lower slider","A","1",""
"34","1040202855","Nut","A","10","GB/T889.1-2000"
"35","02555500700600000","Wiring duct- lower cover","B","1",""
