"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"36","1140265321","Hose assembly","A","1",""
"37","1140260189","Hose assembly","A","1",""
"38","1140257841","Hose assembly","A","1",""
"39","1140276578","Hose assembly","A","1",""
"40","1140250691","Hose assembly","A","1",""
"41","1140254966","Connector","A","1",""
"42","1140259087","Hose assembly","A","1",""
"43","1140240209","Hose assembly","A","2",""
"44","1140103412","Hose assembly","A","2",""
"45","1140212678","Hose assembly","A","1",""
"46","1140238851","Hose assembly","A","1",""
"47","1140258255","Hose assembly","A","1",""
"48","1140221556","Hose assembly","A","1",""
"49","1140260687","Hose assembly","A","1",""
"50","1140267233","Hose assembly","A","1",""
"51","1140214209","Hose assembly","A","1",""
"52","1140255793","Hose assembly","A","1",""
"53","1140253970","Hose assembly","A","1",""
"54","1140269575","Hose assembly","A","1",""
"55","1140269574","Hose assembly","A","1",""
"56","1140269577","Hose assembly","A","1",""
"57","1140251288","Hose assembly","A","1",""
"58","1140249316","Hose assembly","A","1",""
"59","1140269139","Hose assembly","A","1",""
"60","1140203368","Hose assembly","A","1",""
"61","1140269576","Hose assembly","A","1",""
"62","1140231570","Hose assembly","A","2",""
"63","1140225071","Hose assembly","A","1",""
"64","1140244591","Hose assembly","A","1",""
"65","1140256858","Hose assembly","A","1",""
"66","1140262323","Hose assembly","A","1",""
"67","1140282361","Hose assembly","A","1",""
