"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102356","Screw M8×25","4","GB/T70.3-2000"
"2","00775302800001040","Nylon  spacer","2",""
"3","00775602800001200","Adjustable  pad","4",""
"4","00775602800001090","Tray pin","4",""
"5","00775602800001010","Copper washer","4",""
"6","1040300154","Retaining  ring 25","4","GB/T894.1-1986"
"7","00775302800800000","Hydraulic  Tray (ZS0607HD/ 
ZS0607HD-Li)","1",""
"","00775302810200000","Hydraulic  Tray (ZS0607DC/ 
ZS0607DC-Li）","1",""
"8","00775302801000000","Battery Tray (ZS0607HD/ 
ZS0607DC)","1",""
"","00775302821000000","Battery Tray (ZS0607HD-Li/ 
ZS0607DC-Li)","1",""
"9","00775302800200000","Frame (ZS0607HD/ 
ZS0607HD-Li)","1",""
"","00775302811200000","Frame (ZS0607DC/ 
ZS0607DC-Li)","1",""
