"NO.","Material  No.","Item  and  Spec","Units","Remark"
"1","1020104013","Motor driver","1",""
"2","1040000076","Bolt  M6×25-8.8","2","GB/T5783-2000"
"3","1040300062","Washer 6","2","GB/T93-1987"
"4","1040300051","Washer 6","2","GB/T97.1-2002"
"5","1109900765","Hydraulic  door lock","1",""
"6","1040100055","Screw M6×20-8.8","4","GB/T70.1-2000"
"7","1020605226","Follow current protector","1",""
"8","1040201605","Locknut M4-8","2","GB/T889.1-2000"
"9","1040100437","Screw M4×16-8.8","2","GB/T70.1-2000"
"10","1020304604","Contactor","1",""
"11","1040100055","Screw M6×20-8.8","2","GB/T70.1-2000"
"12","1040200506","Nut M6-8","2","GB/T889.1-2000"
"13","1040300051","Washer 6","2","GB/T97.1-2002"
