"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775600000001120","Lower sliding  block II","1",""
"2","1040000025","Bolt  M10×80-8.8","2","GB/T5783-2000"
"3","1040200504","Nut M10-8","2","GB/T889.1-2000"
"4","00775600000001040","Lower sliding  axle","1",""
"5","00775600000001130","Lower sliding  block IV","1",""
"6","1040000288","Bolt  M8×25-8.8","1","GB/T5783-2000"
"7","1040300063","Washer 8","1","GB/T93-1987"
"8","1040300066","Washer 8","1","GB/T97.1-2002"
"9","00775600000001050","Articulated  pin","1",""
"10","00775600000001080","Lower stationary axle","1",""
"11","1040200507","Nut M12-8","4","GB/T889.1-2000"
"12","1040300526","Washer 12","8","GB/T97.1-2002"
"13","00775600000001110","Upper  sliding  block II","4",""
"14","1040000246","Bolt  M12×110-8.8","4","GB/T5783-2000"
"15","00775600000001070","Upper  stationary axle","4",""
"16","00775600100000000","Work platform","1",""
"17","00775600310000000","Scissor arm","1",""
"18","00775602800000000","Chassis (ZS1212HD)","1",""
"","00775602810000000","Chassis (ZS1212DC)","1",""
"","00775602820000000","Chassis (ZS1212HD-Li)","1",""
"","00775602830000000","Chassis (ZS1212DC-Li)","1",""
