"NO.","Material No.","Item and Spec","Units","Remark"
"1","1020999015","Battery","1",""
"2","1010002079","Power unit","1",""
"3","1040100097","Screw M10×30-8.8","4",""
"4","00775202800810000","Tray box","1",""
"5","00775202800801020","T-plate II","1",""
"6","1040300067","Washer 10","2","GB/T93-1987"
"7","1020605226","Continuous-flow protector","1",""
"8","1020300083","Washer 6-200HV","1",""
"9","1040300051","Washer 6","18","GB/T97.1-2002"
"10","1040300062","Screw M6×20-8.8","16","GB/T93-1987"
"11","1040100055","Common relay","10","GB/T70.1-2000"
"12","00775202800821010","Installation  pad","1",""
"13","1020604246","Fuse","1",""
"14","1040100614","Screw M5×14-8.8","2",""
"15","1040300048","Washer 5-200 HV","4","GB/T97.1-2002"
"16","1040301508","Washer 5","2","GB/T93-1987"
"17","1020005354","Motor driver","1",""
"18","1020304603","DC contractor","1",""
