"NO.","Material No.","Item and Spec","Units","Remark"
"1","00773407000401390","Label-  Store the Operation 
and Safety Manual","1",""
"2","00775607000401020","Label-  Safety Rules","1",""
"3","00775607000401030","Danger- Tip-over Hazard","1",""
"4","00775607000401040","Label-  Read the Instructions Carefully","2",""
"5","00773407000201410","Label-  Lanyard Anchorage Point","4",""
"6","00775207010201030","Label-  Capacity, 240kg","1",""
"7","00775607000201100","Label-  Forklift Hole","2",""
"8","00773407000201420","Label-  Tie-down","4",""
"9","00773407000201430","Label-  Lifting","4",""
"10","00775607000401130","Label-  Emergency Lowering","1",""
"11","00775207010401010","Label-  Wheel  Load, 390kg","4",""
"12","00773407000401440","Instruction- Main Power Switch Operation","1",""
"13","00775607000401160","Danger- Explosion  and Fire Hazard","1",""
"14","00775207010401030","Danger- Crushing Hazard","3",""
"15","00775207010401040","Label-  Safety Arm","2",""
"16","00775607000401070","Label-  Max Manual  Force","1",""
"17","00775207010401020","Danger- Tip-over Hazard","1",""
"18","00773407000401450","Label-  Pre-operation Inspection","1",""
"19","00775417000201010","Label-  Lithium-ion  Battery 
(ZS0407DC-Li  only)","1",""
"20","00775607000201190","Label-  Platform Power Rated Voltage","1",""
"21","00773407000401460","Label- AC  Power to Platform","1",""
"22","00775607000201240","Label-  Charger Power Supply","1",""
"","00775607000401330","Label-  Charger Power Supply (US only)","1",""
"23","00775607000001210","Nameplate","1",""
"24","00775607000401320","Label-  non-insulated","1",""
