"NO.","Material  No.","Item  and  Spec","Units","Remark"
"1","1030800656","Tire","2",""
"2","00775302810400000","Left steering wheel carrier","1",""
"3","1020005337","Electric machinery","2",""
"4","1040000970","Bolt  3/8－16UNC-30-8.8","12","GB/T5786-2000"
"5","00775302810400000","Right  steering wheel 
carrier","1",""
"6","00775302800001060","Steering linkage","1",""
"7","1010201475","Steering cylinder","1",""
"8","1040500038","Pin B20×60","2","GB/T882-1986"
"9","1040500394","Split  pin 5×40","2","GB/T91-2000"
"10","00775302800001050","Copper washer I","4",""
"11","00775302800001030","Wearing  ring","2",""
"12","1054400310","Composite bush","4",""
"13","1054400339","Composite bush","2",""
"14","1040300081","washer 12","2","GB/T96.1-2002"
"15","1040200507","Nut M12","2","GB/T889.1-2000"
"16","1040300054","washer 12","2","GB/T93-1987"
"17","1040100157","Screw M12×20-8.8","2","GB/T70.1-2000"
"18","1040100127","Screw M6×12-8.8","2","GB/T70.1-2000"
"19","00775302800001020","End cover","2",""
"20","1040200503","Nut M8-8","1","GB/T889.1-2000"
"21","1990201348","Cover plate","1",""
"22","1019901543","Twin tube clamp","1",""
"23","1990201778","Twin tube clamp","1",""
"24","1040100501","Screw M8×100-8.8","1","GB/T70.1-2008"
"25","1040005784","Bolt  M12×1.5×35-8.8","10","GB/T16674.2-2004"
