"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102717","Screw M8×40","4","GB/T70.3-2000"
"2","00775602800001140","Nylon  spacer","2",""
"3","00775602800001200","Adjustable  pad","4",""
"4","1040100127","Screw M6×12-8.8","10","GB/T70.1-2000"
"5","1040300062","Washer 6","10","GB/T93-1987"
"6","00775602800001120","Side bumper stripe","2",""
"7","00775602800001090","Tray pin","4",""
"8","00775602800001010","Copper washer","4",""
"9","1040300154","Retaining  ring 25","4","GB/T894.1-1986"
"10","00775402800800000","Hydraulic  Tray (ZS0808HD/ 
ZS0808HD-Li/ZS0608HD/ 
ZS0608HD-Li)","1",""
"","00775402810400000","Hydraulic  Tray (ZS0808DC/ 
ZS0808DC-Li/ZS0608DC/ 
ZS0608DC-Li)","1",""
"11","00775502800200000","Battery Tray (ZS0808HD/ 
ZS0808DC/ZS0608HD/ 
ZS0608DC)","1",""
"","00775402821000000","Battery Tray (ZS0808HD-Li/ 
ZS0808DC-Li/ZS0608HD-Li/ 
ZS0608DC-Li/)","1",""
"12","00775402800200000","Frame (ZS0808/ZS0608 series)","1",""
