"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400341","Composite bush 30×25×30","22",""
"2","00775200310400000","Internal scissor arm I","1",""
"3","00775200310200000","External  scissor arm I","1",""
"4","00775200310600000","Internal scissor arm II","1",""
"5","00775200311200000","External  scissor arm II","4",""
"6","00775200310800000","Internal scissor arm III","1",""
"7","00775200311000000","Internal scissor arm IV","1",""
"8","00775200311600000","External  scissor IV","1",""
"9","1054400340","Composite bush 30×25×50","4",""
"10","00775200311800000","External  scissor V","1",""
"11","00775200311400000","External  scissor III","1",""
"12","1040200503","Nut M8-8","11","GB/T889.1-2000"
"13","1040000469","Bolt  M8×55-8.8","11","GB/T5782-2000"
"14","00775200310001020","Axle  II","2",""
"15","1054400337","Composite bush 30×25×20","4",""
"16","00775200310001060","Spacer, bearing","4",""
"17","00775200310001080","Gasket","11",""
"18","1040300154","Retaining  ring 25","11","GB/T894.1-1986"
"19","00775200310001070","End pipe  trunking","2",""
"20","00775200310001010","Axle  I","9",""
"21","1040000689","Bolt  M8×35-8.8","2","GB/T5782-2000"
"22","00775600000001050","Articulated  pin","2",""
"23","1040200503","Nut M8-8","2","GB/T889.1-2000"
"24","00775200310001030","Axle  III","2",""
