"Item","Part No.","Description","Qty."
"1","00000613","Nut  GB/T 6182  M5","6"
"2","00000605","Washer  GB/T 97.1  5","16"
"3","00002246","Bolt  GB/T 5783  M5×12","12"
"4","10006177","Clamp","2"
"5","00000818","Bolt  GB/T 5783  M6×16","5"
"6","00000621","Washer  GB/T 93  6","9"
"7","00000620","Washer  GB/T 97.1  6","17"
"8","00000666","Horn","1"
"9","10021587","Charger protection plate","1"
"10","00005059","Charger","1"
"11","00001010","Screw  GB/T 973  M5×8","5"
"12","10026029","Left plate","1"
"13","10021586","Cover","1"
"14","00002268","Bolt  GB/T 5783  M5×20","4"
"15","00000619","Bolt  GB/T 5783  M6×25","6"
"16","10000537","Half-round batten","2"
"17","00002414","Screw  GB/T 818  M4×12 - H","2"
"18","00000779","Washer  GB/T 93  4","5"
"19","00000778","Washer  GB/T 97.1  4","5"
"20","00000655","Power switch","1"
"21","00000991","Circlips  GB/T 894.1-10","2"
"22","10006173","Hinge seat","2"
"23","00001033","Nut  GB/T 6182  M6","8"
"24","10006180","Hinge","1"
"25","","Ground control box assembly (refer to 209.1)","1"
"26","00006262","Motor controller","1"
"27","00000774","Screw  GB/T 70.1  M6×20","4"
"28","10026026","Left plate","1"
"29","00001250","Screw  GB/T 818  M5×16 - H","2"
