"Item","Part No.","Description","Qty."
"1","00009666","CT1 harness","1"
"2","00009553","CT2 harness","1"
"3","00012321","Battery positive harness","1"
"4","00009699","Power harness","1"
"5","00007878","Power harness","1"
"6","00009556","Power harness","1"
"7","00009558","Left drive motor harness","1"
"8","00009559","Right drive motor harness","1"
"9","00012323","Pump controller negative harness","1"
"10","00012322","Drive controller negative harness","1"
"11","00009663","Pothole switchand potentiometerharness","1"
"12","00009864","Spring harness","1"
"13","00009664","CT3 harness","1"
