"Item","Part No.","Description","Qty."
"1","09340001","Decal, Notice-Keep the manual with the machine","1"
"2","09440059","Decal, Label-Lanyard anchorage point","4"
"3","09440212","Decal, Warning-Crushing hazard","2"
"4","09340070","Decal, Symbols-Non operating hand position","1"
"5","09440157","Decal, Warning-Tip-over hazard","1"
"6","09440159","Decal, Warning-Crushing hazard/ Falling hazard","1"
"7","09440153","Decal, Danger-Tip-over hazard, tilt-alarm","1"
"8","09440054","Decal, Label-Capacity 200kg","1"
"9","09440155","Decal, Danger-Electrocution hazard","1"
"10","09340003","Decal, Instructions-Refer the operator to the instructions 
for use","2"
"11","09440009","Decal, Caution-Max. manual force 400N (Indoor) 200N 
(Outdoor)","1"
"12","09430018","Decal, Danger-Do not alter or disable limit switch","2"
"13","09920027","Decal, Label-AMWP11.5-8200AC","1"
"14","09410071","Decal, Warning-Injection hazard","1"
"15","09320005","Decal, Symbols-Emergency operating instructions","1"
"16","09410081","Decal, Caution-Forklift pockets","4"
"17","09310166","Decal, Instructions-Maximum wheel load 1600kg","4"
"18","09910147","Decal, Label-AMWP11.5-8200AC","1"
"19","09310232","Decal, Instructions-White arrow","2"
"20","09310003","Decal, Instructions-Tie down point","4"
"21","09310002","Decal, Instructions-Lift point","4"
"22","09410031","Decal, Warning-Do not stepping","3"
"23","09310230","Decal, Instructions-Directional arrows","1"
"24","09310004","Decal, Instructions-Emergency lower","1"
"25","09310006","Decal, Notice-Main power switch operation","1"
"26","09420006","Decal, Warning-Crushing hazard","1"
"27","09420017","Decal, Danger-Do not stand","1"
"28","09920026","Decal, Label-AMWP11.5-8200AC","1"
