"Item","Part No.","Description","Qty."
"--","00008033","Brake (KDS)","1"
"28","00005182","Washer  ANSI B18.22.1  narrow  3/8","14"
"29","00005181","Washer  ANSI B18.21.1  3/8","14"
"30","00006223","3/8-16×1 1/2""  Bolt  ANSI B18.2.1","14"
"31","10026011","Plate, Bracket","1"
"32","00005168","Screw  GB/T 818  M6×10 - H","6"
"33","10026010","Plate, bracket","1"
"34","10026034","Front baffle plate","1"
"35","00002354","Limit switch","2"
"36","10006097","Switch bracket","2"
"37","00000605","Washer  GB/T 97.1  5","12"
"38","00000606","Washer  GB/T 93  5","12"
"39","00002246","Bolt  GB/T 5783  M5×12","12"
