"Item","Part No.","Description","Qty."
"1","","(2-4) mast pulley assembly (refer to 310.1）","2"
"2","10006130","Pin","2"
"3","00004995","Cotter pin  GB/T 91  1,6×10","30"
"4","","(4-6) mast pulley assembly (refer to 311.1）","1"
"5","10006134","Pin","4"
"6","","(1-3) mast pulley assembly (refer to 312.1）","1"
"7","","(3-5) mast pulley assembly (refer to 313.1）","1"
"8","10006136","Chain terminal","2"
"9","10006131","Pin","2"
"10","00004997","Cotter pin  GB/T 91  4×25","6"
"11","00002510","Nut  GB/T 6170  M16","8"
"12","00001035","Washer  GB/T 93  16","4"
"13","10006086","Chain, (3-5) mast, LH0844-121","2"
"14","10006133","Pin","4"
"15","10006084","Chain, (1-3) mast, LH1066-133","2"
"16","10006135","Pin","1"
"17","10006147","Chain, (4-6) mast, LH0822-121","2"
"18","10006085","Chain, (2-4) mast, LH0866-125","2"
"19","10006137","Chain terminal","2"
"20","10006132","Pin","2"
"21","10006138","Chain terminal","2"
"22","00004994","Nut  GB/T 6170  M14","4"
"23","00001258","Washer  GB/T 93  14","2"
