"No.","Material No.","Item and Spec","Qty","Note"
"1","1029903711","Boom Cables","1",""
"2","1020700951","Connector","1","Tower boom 
lowering safety valve"
"3","1020700951","Connector","1","Tower boom 
lowering speed valve"
"4","1020700951","","","Telescopic leveling 
select valve"
"5","1020700951","","","Main boom lowering 
safety valve"
"6","1020700951","Connector","1","Main boom lowering 
speed valve"
"7","1020700540","Terminal resistance","1",""
"8","1021404019","Main boom leveling angle sensor","1",""
"9","1029906298","Boom length limit switch 1","1",""
"10","1029906298","Boom length limit switch 2","1",""
"11","1020703394","Connector","1",""
