"No.","Material No.","Item and Spec","Qty","Note"
"1","1020005380","DC motor","1",""
"2","00773406230450090","Wire-function pump D1 to A1","1",""
"3","00773406230450070","Wire-function pump driver M- to 
function pump D2","1",""
"4","00773406230450060","Wire-function pump driver B+ to 
function pump A2","1",""
"5","00773406230450020","Long wire-battery positive and 
negative in series","1",""
"6","1020903378","Battery","8",""
"7","00773406230450010","Short wire- battery positive and 
negative in series","6",""
"8","00773406230450030","Wire – battery positive and negative to 
panel fuse","1",""
"9","1020903393","Charger on board","1",""
"10","00773406230450040","Wire-battery negative and manual 
switch","1",""
"11","00773406230450050","Wire-manual switch and panel 
negative","1",""
"12","1029900667","Main power switch (rotary knob)","1",""
