"No.","Material No.","Item and Spec","Qty","Note"
"1","1040006017","Screw M6×25-A2-70","4",""
"2","1040300771","Washer 6-200HV","16","GB/T97.1"
"3","1040201896","Nut M6-8","8","GB/T889.1"
"4","1040200503","Nut M8-8","6","GB/T889.1"
"5","1040302480","Washer 8-200HV","4","GB/T96.1"
"6","00773400100261050","Bearing","2",""
"7","00773400100261060","Bolt","2",""
"8","00771100110230200","Stop block II","1",""
"9","00771100110231000","Cover","1",""
"10","00771100110230400","Stop block","1",""
"11","1040005844","Bolt M6×10-A2-70","4","GB/T5783"
"12","00771100110240000","Backboard welds","1",""
"13","1040200504","Nut M10-8","4","GB/T889.1"
"14","00772700100001020","Rubber pad","2",""
"15","1040302512","Washer 10-200HV","8","GB/T96.1"
"16","1040004508","Bolt M10×45-8.8","4","GB/T5783"
"17","00773400170210001","Platform welds","1",""
"18","1040005852","Bolt M12×20-8.8","2","GB/T5787"
"19","1040302821","Washer 12-200HV","6","GB/T96.1"
"20","02564400100420000","Tray welds","1",""
"21","1040201163","Nut M12-10","6","GB/T889.1"
"22","1040004556","Bolt M12×35-8.8","4","GB/T16674.1"
"23","1040103112","Screw M8×25-8.8","7","GB/T70.1"
"24","1040301515","Washer 8-200HV","7","GB/T97.1"
"25","00773400100401040","Cushion block","1",""
"26","/","Load cell","1",""
"27","00773400130401060","Cushion block III","2",""
"28","1040302490","Washer 12-200HV","4","GB/T97.1"
"29","1040001703","Bolt M12×65-10.9","2","GB/T5782"
"30","1040006458","Strengthen 
half-round 
head 
square diameter bolt   
M12×50-8.8 (full thread)","1",""
