"No.","Material No.","Item and Spec","Qty","Note"
"1","1040200503","Nut M8-8","12","GB/T889.1"
"2","1110100355","Gas spring - extending length","4",""
"3","00773401100700000","Hinge","4",""
"4","02564401101200000","Right side stop plate","1",""
"5","1040004520","Bolt M8×30-8.8","20","GB/T5783-2000"
"6","1109900766","Battery door lock","1","50076-C38K"
"7","00773402809900004","Flashing light","1",""
"8","2564401110200000","Left hood","1",""
"9","00773401110001013","Left lock seat Tp6","1",""
"10","00773400820001130","Washer Tp4","4",""
"11","1040004517","Bolt M8×16-8.8","8","GB/T5783-2000"
"12","1040302480","Washer 8-200HV","40","GB/T96.1-2002"
"13","00773400820001120","Strength bending plate Tp6","2",""
"14","02564401101000000","Left side stop plate","1",""
"15","02564401110001040","Mounting bracket Tp5","2",""
"16","1040004518","Bolt M8×20-8.8","4","GB/T5783-2000"
"17","1040302512","Washer 10-200HV","18","GB/T96.1-2002"
"18","00773401110201023","Latch round steel Φ10","2",""
"19","1040004678","Door stopper bolt M10×70","4","M10×70"
"20","1040300771","Washer 6-200HV","14","GB/T97.1-2002"
"21","1040200113","Nut M10-8","16","GB/T6170-2000"
"22","1040301515","Washer 8-200HV","4","GB/T97.1-2002"
"23","1109900765","Hydraulic door lock","1","50075-C37K"
"24","00773401110001033","Right lock seat Tp6","1",""
"25","1100700163","Door handle","2","26983-09"
"26","02564401110400000","Right hood","1",""
"27","1040201089","Nut M8-8","16","GB/T6170-2000"
"28","1040002435","Bolt M10×35-8.8","10","GB/T5783-2016"
