"No.","Material No.","Item and Spec","Qty","Note"
"31","02564400301800001","Upper dust brush","1",""
"32","02564400301200001","Side brush","2",""
"33","1040004511","Bolt M12×30-8.8","2","GB/T5783-2000"
"34","02564300301600000","Lower dust brush","1",""
"35","02564400300800000","Upper leveling cylinder","1",""
"36","02564400300001020","Leveling cylinder pin","1",""
"37","02564400300001050","Pin I","1",""
"38","02564400300001130","Pin II","1",""
"39","00773400300001101","Adjustable gasket","4",""
"40","00773400312600000","Slider assembly","4",""
"41","02564300300400000","Telescopic boom","1",""
"42","02564300300200000","Base boom","1",""
