"No.","Material No.","Item and Spec","Qty","Note"
"31","1040201381","Nut M12-8","1","GB/T6170"
"32","1040001703","Bolt M12×65-10.9","2","GB/T5782"
"33","1040302490","Washer 12-200HV","4","GB/T97.1"
"34","1040103112","Screw M8×25-8.8","7","GB/T70.1"
"35","1040301515","Washer 8-200HV","9","GB/T97.1"
"36","00773400100401040","Cushion block","1",""
"37","00773400130401060","Cushion block III","2",""
"38","/","Load cell","1",""
"39","00775600101801020","Spring","1",""
"40","00773400130401040","Cushion block I","8",""
"41","1054600077","Needle bearing","8",""
"42","02564400100401010","Link","2",""
"43","02564400100401020","Axle","4",""
"44","02564400100401030","Axle stop plate","4",""
"45","1040004646","Bolt M10×15-8.8","4","GB/T5783"
"46","1080000005","Oil cupM6×1","8",""
"47","1040201111","Nut M24-10","1","GB/T889"
"48","1040301511","Washer 24-200HV","1","GB/T97.1"
"49","00773400100401030","Adjustable pad","2",""
"50","00774000110410000","Transition seat","1",""
"51","1040004505","Bolt M24×280-10.9","1","GB/T5782"
"52","1040006524","Bolt M10×25-10.9","8",""
"53","1040004522","Bolt M8×50-8.8","1","GB/T5783"
"54","00775600101801010","Key cylinder","1",""
"55","00773400100230000","Revolving door","1",""
"56","1040102372","Hex socket head cap screw 
M6×20-A2-70","4","GB/T70.1"
"57","1999904986","Document box 355×280×55","1",""
"58","1022397103","Open bellows","1",""
"59","/","Platform electric control box","1",""
