"No.","Material No.","Item and Spec","Qty","Note"
"1","1040301515","Washer 8-200HV","9","GB/T97.1-2002"
"2","02564300800401010","Hose seat","1",""
"3","1040004521","Bolt M8×45-8.8","2","GB/T5783-2000"
"4","1040303581","Washer 10-300HV","4","GB/T96.1-2002"
"5","02564400800001020","Axle I","2",""
"6","00773400410001230","Stop pin Φ16×140*","3",""
"7","02564300800001060","Pipeline tray","1",""
"8","02564400800001030","Axle II","1",""
"9","02564300800200000","Turntable welds","1",""
"10","1040004033","Bolt M10×25-10.9","2","GB/T5783-2000"
"11","1040006550","Bolt M16×40-10.9","3","GB/T5783-2000"
"12","02564300800600000","Pipe assembly","1",""
"13","1040004518","Bolt M8×20-8.8","4","GB/T5783-2000"
"14","02564400800001011","Electric cabinet seat","1",""
"15","1040004519","Bolt M8×25-8.8","4","GB/T5783-2000"
"16","1040303580","Washer 8-300HV","12","GB/T96.1-2002"
"17","1040202855","Nut M8-8","6","GB/T889.1-2000"
"18","00774100800001140","Electric control rubber pad","2",""
"19","1040004590","Bolt M8×14-8.8","3","GB/T5783-2000"
"20","00774000801600000","Binding wire bracket","1",""
"21","1040302489","Washer 10-200HV","2","GB/T97.1-2002"
"22","00773400820001010","Rotary locate pin","1",""
