"No.","Material No.","Item and Spec","Qty","Note"
"No.","Material No.","Item and Spec","Qty","Note"
"1","1020520994","Joystick","1",""
"2","1020520083","Toggle switch","1","Drive specificity"
"3","1020520995","Potentiometer","1",""
"4","1020520136","Toggle switch","1","Light"
"5","1020520135","Toggle switch","1","Drive speed 
control"
"6 
7","1020405061","Alarm indicator panel","1",""
"","1020519658","Emergency stop button","1",""
"8","1020509007","Button seat","1",""
"8","1020520135","Toggle switch","1","Platform leveling 
control"
"9","1020520993","Joystick","1",""
"10","1020520084","Toggle switch","1","Platform rotary 
switch"
"11","1020520084","Toggle switch","1","Jib lifting switch"
"12","1020520084","Toggle switch","1","Tower boom 
lifting"
"13 
14","1020520084","Toggle switch","1","Jib telescopic"
"","1020103903","Controller","1",""
"15","1020103955","Connector assembly","1",""
"15","1022399012","Line slot","1",""
"16","1020404405","Flash buzzer","1",""
"17","1029904980","Terminal","7",""
"18","1029905392","Terminal","4",""
"19","1020704265","Earth terminal row","4",""
"20","1020703394","Deutsch connector","1","Chain cables"
