"No.","Material No.","Item and Spec","Qty","Note"
"31","1040201381","Nut M12-8","1","GB/T6170"
"32","00773400130401040","Cushion block I","8",""
"33","02564400100401010","Link","2",""
"34","1054600077","Needle bearing","8",""
"35","02564400100401020","Axle","4",""
"36","02564400100401030","Axle stop plate","4",""
"37","1040004646","Bolt M10×15-8.8","4","GB/T5783"
"38","1080000005","Oil cup","8",""
"39","1040201111","Nut M24-10","1","GB/T889"
"40","1040301511","Washer 24-200HV","1","GB/T97.1"
"41","00773400100401030","Adjustable pad","2",""
"42","00774000110410000","Transition seat","1",""
"43","1040006524","Bolt M10×25-10.9","8",""
"44","1040004505","Bolt M24×280-10.9","1","GB/T5782"
"45","1999904986","Document box 355×280×55","1",""
"46","1040102372","Hex socket head cap screw 
M6×20-A2-70","4","GB/T70.1"
"47","1022397103","Open bellows","1",""
"48","1040100229","Screw M10×75-8.8","2","GB/T70.1"
"49","/","Platform electric control box","1","GB/T6170"
