"No.","Material No.","Item and Spec","Qty","Note"
"1","/","Panel 12V plug","1",""
"2","/","Panel 5V collect signal","1",""
"3","/","Panel 48V system signal","1",""
"4","/","Slip ring plug 2","1",""
"5","/","Slip ring plug 1","1",""
"6","/","Function pump temperature sensor","1",""
"7","/","Function pump speed sensor","1",""
"8","1029909343","Charger","1",""
"9","1021404304","Steering angle sensor","1",""
"10","1021404525","Frame angle sensor","1",""
"11","/","Auxiliary pump relay","1",""
"12","/","Fuse","1",""
"13","/","Emergency power negative","1",""
"14","/","Emergency power positive","1",""
