"No.","Material No.","Item and Spec","Qty","Note"
"1","1040005851","Screw M10×25-8.8","2","GB/T5787"
"2","1010601202","Return oil filter","1",""
"3","1140107825","Male stud connector","1",""
"4","1140101484","T-connector","1",""
"5","1040004517","Bolt M8×16-8.8","8","GB/T5783"
"6","1040301515","Washer 8","8","GB/T97.1"
"7","00773405210220000","Window cover","1",""
"8","00773405210230000","Seal plate","1",""
"9","00773405210210000","Tank","1",""
"10","1040302821","Washer 12","4","GB/T96.1"
"11","1040002436","Bolt M12×25-8.8","4","GB/T5783"
"12","1140101628","Plug screw","1",""
"13","1140101466","Male stud connector","1",""
"14","1019901470","Level gauge","1",""
