"No.","Material No.","Item and Spec","Qty","Note"
"23","1040104087","Screw M12×100-10.9","1","GB/T70.1-2000"
"24","02564400800001050","Adjustable gasket","2",""
"25","02564400400001120","Guide block","2",""
"26","1040102776","Screw M4×35-8.8","4","GB/T70.1-2000"
"27","02564300800001010","Connector mounting plate","1",""
"28","00773400820001031","Rotary limit support","1",""
"29","1040004596","Bolt M8×50-8.8","2","GB/T5782-2000"
"30","1040303579","Washer 6-300HV","2","GB/T96.1-2002"
"31","1040002555","Bolt M6×16-A2-70","2","GB/T5783-2000"
"32","00773700800001610","Gasket","2",""
"33","02564300800401020","Bending plate Ⅱ","1",""
"34","1040003252","Hex socket head cap screw 
M8×20-12.9","4","GB/T70.1-2000"
