"No.","Material No.","Item and Spec","Qty","Note"
"1","1040004519","Bolt M8×25-8.8","4","GB/T5783-2000"
"2","1040007536","Bolt M10×35-10.9","2","GB/T5783-2000"
"3","1040201089","Nut M8-8","4","GB/T6170-2000"
"4","1040302489","Washer 10-200HV","12","GB/T97.1-2002"
"5","1030202552","Reducer 
motor 
assembly 
ZFT7T62-303","2","ZFT7T62-303"
"6","1040301031","Washer 12-300HV","8","GB/T96.1-2002"
"7","1040201860","Nut M10","12","QC/T608-2011"
"8","1030800654","Tire","4","IN240/55D17.5"
"8","1030800702","Tire","4","240/55D17.5-NM"
"9","1040301515","Washer 8-200HV","20","GB/T97.1-2002"
"10","1040202856","Nut M10-10","2","GB/T889.1-2000"
"11","00773402830400001","Battery fixed bracket","1",""
"12","00773402830001010","Emergency pump bracket","1",""
"13","1040201772","Nut M4-A2-70","8","GB/T6170-2000"
"14","1101000180","Latch 4002","4","4002"
"15","00773402823200000","Battery box - upper cover","2",""
"16","1040102429","Screw M4×8","20","GB/T70.3-2000"
"17","00773402821600000","Frame rear cover","1",""
"18","1040303581","Washer 10-300HV","2","GB/T96.1-2002"
"19","1040004520","Bolt M8×30-8.8","8","GB/T5783-2000"
"20","00773402820001160","Rear box bottom cover","2",""
"21","1040004518","Bolt M8×20-8.8","4","GB/T5783-2000"
"22","1040005831","Bolt M10×25-DKL","8","GB/T5789-1986"
"23","1040004653","Bolt M12×30-10.9","10","GB/T5783-2000"
"24","1040302817","Washer 16-DKL","20","GB/T1230-1991"
"25","1040202297","Nut M16×1.5-10 (Spiralock)","36","GB/T6177.2-2000"
"26","1040102055","Screw M16×45-10.9-DKL","16","GB/T70.1-2000"
"27","02564302800400000","Frame welds","1",""
