"No.","Material No.","Item and Spec","Qty","Note"
"1","00773400700001150","Rib plate","1",""
"2","1040103109","Screw M5×70-A2-70","2","GB/T70.1-2000"
"3","1040303578","Washer 5-300HV","6","GB/T96.1-2002"
"4","1040004557","Bolt M8×50-8.8","4","GB/T16674.1-2016"
"5","00773400700001051","Bending installation plate","2",""
"6","00773400710001010","Rectangular tube","1",""
"7","00773400700001020","Hose seat","2",""
"8","1040102737","Screw M8×30-8.8","1","GB/T70.1-2000"
"9","1040102751","Screw M5×25-8.8","2","GB/T70.1-2000"
"10","00773400700400000","Tray","",""
"11","1040301510","Washer 8","4","GB/T93-1987"
"12","00773400700001040","Pipe slot","1",""
"13","1040004517","Bolt M8×16-8.8","4","GB/T5783-2000"
"14","1040200503","Nut M8-8","6","GB/T889.1-2000"
"15","1040301515","Washer 8-200HV","12","GB/T97.1-2002"
"16","1040004519","Bolt M8×25-8.8","1","GB/T5783-2000"
"17","00773400700001090","Chain mechanism","1",""
"18","1040201904","Nut M5-8","4","GB/T889.1-2015"
"19","00773400700001061","Pipe-jacking","2",""
