"No.","Material No.","Item and Spec","Qty","Note"
"1","1022099027","Display","1",""
"2","1020521445","Toggle switch","1","Platform rotary"
"3","1020521445","Toggle switch","1","Platform leveling"
"4","1020521445","Toggle switch","1","Jib lifting"
"5","1020521445","Toggle switch","1","Boom telescopic"
"6","1020521445","Toggle switch","1","Boom lifting"
"7","1020502039","Emergency stop button","1","Emergency switch"
"","1020509007","Button seat","1",""
"8","1020521445","Toggle switch","1","Tower boom 
lifting"
"9","1020521389","Key switch","1",""
"10","1020521445","Toggle switch","1","Turntable rotary"
"11","1020521445","Toggle switch","1","Emergency power 
and enable"
"12","1020304559","Relay","1","Light relay"
"13","1029905392","Fuse terminal","10",""
"14","1020705826","Diode terminal","2",""
"15","1029904980","Terminal","11",""
"16","1029903317","48 core sheath","1","Turntable cables"
"17","1029903317","48 core sheath","1","Turntable cables"
"18","1029902634","32 core sheath","1","Turntable cables"
"19","1020304584","Power relay","1",""
"20","1020103903","Controller","1",""
"21","1020103955","Connector assembly","1",""
