"No.","Material No.","Item and Spec","Qty","Note"
"46","00773402822000000","Steering track rod I","2",""
"47","00773402820001080","Steering pin","3",""
"48","1040002178","Bolt M6×30-A2-70","8","GB/T5783-2000"
"49","1040004496","Bolt M16×45-10.9","4","GB/T5783-2016"
"50","00773402820001030","Steering track rod gasket","4",""
"50","00773402800001260","Bearing","4",""
"51","00773402820610000","Left steering knuckle","1",""
"52","00773402820001091","Charging port protective box","1",""
"53","1040202854","Nut M6-8","10","GB/T889.1-2000"
"54","1040200693","Nut M24×2-8","2","GB/T9459-1988"
"55","1040500394","Cotter5×40","2","GB/T91-2000"
"56","1030801105","Hub assembly REV5B","2","9095001"
"57","00773402821400000","Frame front cover","1",""
"58","00773402820810000","Right steering knuckle","1",""
"59","00773402820001100","Steering pin II","1",""
"60","00773402820601011","Hub stop plate","2",""
"61","00773402800001271","Steering knuckle pin washer","2",""
