"Item","Part No.","Description","Qty."
"1","10002839","Lower lift cylinder","1"
"2","00002519","Washer  BS/A 13.74","2"
"3","10000465","Fitting","1"
"4","10000464","Fitting","1"
"5","10000462","Nut","1"
"6","00001073","Plug  VSTI14×1.5ED","1"
"7","00007393","Pressure sensor","1"
"8","00001262","Straight fitting","1"
"9","00003022","Solenoid valve spool","1"
"10","00003668","Coil","1"
"11","00003020","Nut","1"
"12","00001054","Screw  GB/T 70.1  M4×12","1"
"13","10000413","Cable connector","1"
"14","10002910","Emergency down cable assembly","1"
"15","10000410","Lowering knob 
JB/T 7274.6  BM5×70","1"
"16","00000876","Screw  GB/T 70.1  M6×16","2"
"17","00000621","Washer  GB/T 93  6","2"
"18","00000620","Washer  GB/T 97.1  6","2"
"19","10000431","Valve cover","1"
"20","10000404","Check valve","1"
"21","00002998","Plug  SAE4","1"
"22","00005213","Orifice  3/8-16_Φ1.8","1"
"23","00003617","Seal kit","1"
