"Item","Part No.","Description","Qty."
"29","10002662","Hinge","1"
"30","10002642","Rubber pad","1"
"31","","Hydraulic tank assembly (refer to 112.1)","1"
"32","10002761","Tank strap","1"
"33","00000683","Bolt  GB/T 5783  M10×30","4"
"34","00000615","Washer  GB/T 97.1  10","8"
"35","00000623","Nut  GB/T 6182  M10","4"
"36","","Drive manifold assembly (refer to 113.1)","1"
"37","10002649","Rubber pad","1"
"38","10002747","Tank strap","1"
"39","","Fuel tank assembly (refer to 114.1)","1"
"40","00001874","Oil cooler","1"
