"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"3","00771407000201090","Yellow arrow","A","5",""
"5","00771407000201080","Blue arrow","A","5",""
"6","00773407000201271","No water washing","A","2",""
"7","02562307000201010","Tilting hazard label","A","2",""
"8","00773407000201421","Binding point","A","8",""
"9","00773407000201241","No hoisting","A","8",""
"15","00773407010201021","Hand pinch hazard","A","2",""
"17","02562307000201531","ZA34J-V Hood Decal","A","1",""
"20","00773407000201511","Cold start","A","1",""
"22","00773407000201321","Crashing hazard II","A","3",""
"26","00773407000201311","Tilting hazard II","A","2",""
"27","00773407000201191","Smashing hazard","A","5",""
"28","00773407000201431","Lifting point","A","6",""
"29","00773407000201081","Ground indicator instruction","A","1",""
"30","00771407000201120","Zoomlion LOGO I","A","2",""
"31","00773407000201561","Tilting hazard III","A","4",""
"32","02562307000201020","Wheel load","A","4",""
"36","00773407010201441","Main power switch","A","1",""
"37","00773407000201151","Disconnect battery","A","1",""
"38","00773407000201381","Explosion hazard II","A","1",""
"42","02562307000201070","Transporting and lifting instruction","A","1",""
