"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"15","1040006525","Bolt","A","8","QC/T340-1999"
"16","1040004646","Bolt","A","4","GB/T5783-2000"
"17","00773400130401040","Block I","A","8",""
"18","02564400100401010","Linkage","B","2",""
"19","1054600077","Kinpin bearing","A","8","GB/T5801-2006"
"20","1040200503","Nut","A","4","GB/T889.1-2000"
"21","1080000005","Oil cup","A","8","JB/T7940.1-1995"
"22","02564400100401031","Spindle plate","A","4",""
"23","1040103112","Screw","A","7","GB/T70.1-2000"
"24","1040301515","Washer","A","7","GB/T97.1-2002"
"25","02564400100401020","Axle","B","4",""
"26","00773400130401060","Block III","C","2",""
"27","1040007563","Bolt","A","1","GB/T5782-2000"
"28","1040202857","Nut","A","2","GB/T889.1-2000"
"29","00773400100401030","Adjustable pad","A","2",""
"30","1040302490","Washer","B","4","GB/T97.1-2002"
"31","02555400100420000","Tray weldment","A","1",""
"32","1040301511","Washer","A","1","GB/T97.1-2002"
"33","1040001703","Bolt","B","2","GB/T5782-2000"
"34","00773400100401040","Block","A","1",""
"35","1040006458","Reinforcing half round head square
diameter bolt","A","1","GB/T794-1993"
"36","02555300100410000","TRansition seat","A","1",""
"37","1040201381","Nut","A","1","GB/T6170-2000"
"38","1040201111","Nut","A","1","GB/T889-1986"
