"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00771407000201100","Yellow triangle","A","2",""
"2","00773407000201251","Plug stop pin","A","2",""
"3","00771407000201090","Yellow arrow","A","5",""
"4","00771407000201110","Blue triangle","A","2",""
"5","00771407000201080","Blue arrow","A","5",""
"6","00773407000201271","No water washing","A","2",""
"7","02562307000201010","Tilting hazard label","A","2",""
"8","00773407000201421","Binding point","A","8",""
"9","00773407000201241","No hoisting","A","8",""
"10","00773407000201201","No lanyard","A","3",""
"11","00773407000201231","Pedal failure hazard","B","1",""
"12","00773407000201411","Safety lanyard point","A","6",""
"13","00773407000201141","Platform console","B","1",""
"14","00773407010201031","Handrail position","A","2",""
"16","00773407000201221","Platform indicator instruction","A","1",""
"18","02562307000201331","ZA34J-V Platform Decal","A","1",""
"19","00773407000201391","Save manual","A","1",""
"22","00773407000201321","Crashing hazard II","A","3",""
"38","00773407000201381","Explosion hazard II","A","1",""
